listing_id,high,medium,low
7129888,0.08,0.405,0.515
7119314,0.285,0.34,0.375
7173398,0.06,0.23,0.71
7100690,0.145,0.245,0.61
7111231,0.215,0.28,0.505
7173783,0.1,0.355,0.545
7185543,0.005,0.235,0.76
7190190,0.07,0.33,0.6
7157963,0.135,0.275,0.59
7158304,0.315,0.3,0.385
7095639,0.075,0.265,0.66
7130993,0.025,0.075,0.9
7117359,0.075,0.295,0.63
7122494,0.0,0.02,0.98
7093292,0.04,0.115,0.845
7214909,0.065,0.335,0.6
7178939,0.11,0.205,0.685
7209358,0.015,0.105,0.88
7232607,0.03,0.13,0.84
7207044,0.01,0.085,0.905
7223765,0.15,0.395,0.455
7103387,0.045,0.28,0.675
7149774,0.005,0.02,0.975
7105211,0.0,0.095,0.905
7183544,0.04,0.135,0.825
7233547,0.12,0.265,0.615
7096046,0.015,0.115,0.87
7174305,0.105,0.165,0.73
7172833,0.05,0.28,0.67
7109230,0.025,0.155,0.82
7180549,0.075,0.235,0.69
7096591,0.12,0.27,0.61
7110015,0.04,0.145,0.815
7114048,0.05,0.165,0.785
7111037,0.235,0.305,0.46
7218940,0.015,0.16,0.825
7151360,0.345,0.275,0.38
7127611,0.075,0.24,0.685
7157286,0.06,0.205,0.735
7155237,0.045,0.205,0.75
7152325,0.365,0.28,0.355
7133809,0.09,0.37,0.54
7151723,0.025,0.16,0.815
7139628,0.08,0.265,0.655
7116008,0.03,0.105,0.865
7139222,0.11,0.355,0.535
7118151,0.06,0.2,0.74
7211749,0.07,0.26,0.67
7216084,0.005,0.035,0.96
7167944,0.115,0.495,0.39
7204462,0.21,0.39,0.4
7170651,0.05,0.3,0.65
7166110,0.11,0.205,0.685
7215024,0.025,0.085,0.89
7092587,0.075,0.375,0.55
7228780,0.105,0.2,0.695
7113165,0.075,0.38,0.545
7185875,0.21,0.405,0.385
7207091,0.045,0.225,0.73
7154391,0.055,0.185,0.76
7134369,0.1,0.31,0.59
7114144,0.035,0.17,0.795
7225788,0.02,0.11,0.87
7174343,0.135,0.385,0.48
7184376,0.025,0.19,0.785
7099086,0.045,0.205,0.75
7206516,0.015,0.235,0.75
7109865,0.005,0.02,0.975
7221603,0.025,0.165,0.81
7102769,0.06,0.255,0.685
7136804,0.005,0.07,0.925
7133432,0.15,0.395,0.455
7211670,0.075,0.31,0.615
7193044,0.155,0.385,0.46
7179722,0.005,0.04,0.955
7098040,0.055,0.24,0.705
7228235,0.17,0.385,0.445
7168531,0.085,0.43,0.485
7092471,0.025,0.125,0.85
7151021,0.01,0.08,0.91
7117279,0.005,0.115,0.88
7231987,0.055,0.255,0.69
7152057,0.18,0.37,0.45
7169603,0.06,0.125,0.815
7190178,0.035,0.21,0.755
7098492,0.06,0.33,0.61
7151657,0.035,0.15,0.815
7202087,0.08,0.215,0.705
7172144,0.06,0.315,0.625
7151264,0.35,0.275,0.375
7167649,0.12,0.41,0.47
7125098,0.03,0.14,0.83
7192968,0.1,0.25,0.65
7167064,0.1,0.305,0.595
7208386,0.12,0.355,0.525
7140549,0.22,0.305,0.475
7232611,0.095,0.33,0.575
7231989,0.065,0.235,0.7
7131237,0.075,0.26,0.665
7123477,0.18,0.395,0.425
7139138,0.26,0.285,0.455
7100724,0.01,0.04,0.95
7114596,0.03,0.23,0.74
7143360,0.005,0.065,0.93
7131232,0.095,0.43,0.475
7135694,0.1,0.265,0.635
7156849,0.195,0.385,0.42
7134868,0.025,0.12,0.855
7204699,0.33,0.285,0.385
7159026,0.04,0.255,0.705
7210613,0.055,0.33,0.615
7178322,0.045,0.315,0.64
7092546,0.17,0.28,0.55
7175776,0.015,0.185,0.8
7198568,0.29,0.37,0.34
7205032,0.0,0.015,0.985
7191829,0.13,0.33,0.54
7090354,0.035,0.13,0.835
7103754,0.2,0.345,0.455
7210833,0.165,0.3,0.535
7119486,0.125,0.395,0.48
7313611,0.045,0.21,0.745
7192079,0.03,0.215,0.755
7174050,0.08,0.3,0.62
7158408,0.17,0.41,0.42
7162815,0.255,0.3,0.445
7128366,0.29,0.36,0.35
7233175,0.055,0.325,0.62
7095885,0.025,0.145,0.83
7098256,0.0,0.025,0.975
7198026,0.05,0.25,0.7
7179395,0.03,0.14,0.83
7126687,0.04,0.135,0.825
7186570,0.03,0.145,0.825
7174616,0.135,0.315,0.55
7190918,0.025,0.205,0.77
7174630,0.025,0.075,0.9
7099714,0.015,0.13,0.855
7210257,0.03,0.15,0.82
7218237,0.035,0.15,0.815
7194008,0.17,0.31,0.52
7145715,0.035,0.14,0.825
7161245,0.015,0.14,0.845
7232193,0.125,0.42,0.455
7157880,0.145,0.29,0.565
7234325,0.01,0.055,0.935
7105040,0.085,0.46,0.455
7123444,0.08,0.3,0.62
7098616,0.005,0.11,0.885
7111962,0.16,0.39,0.45
7206817,0.015,0.18,0.805
7140556,0.11,0.39,0.5
7214145,0.03,0.165,0.805
7215333,0.055,0.285,0.66
7130379,0.06,0.295,0.645
7215033,0.095,0.265,0.64
7200611,0.1,0.28,0.62
7159658,0.11,0.22,0.67
7109857,0.005,0.04,0.955
7187765,0.025,0.2,0.775
7197884,0.07,0.325,0.605
7141108,0.04,0.165,0.795
7221313,0.1,0.44,0.46
7160195,0.005,0.125,0.87
7135503,0.005,0.045,0.95
7184754,0.085,0.285,0.63
7181796,0.09,0.45,0.46
7204408,0.105,0.435,0.46
7125047,0.005,0.04,0.955
7170001,0.12,0.375,0.505
7222789,0.015,0.175,0.81
7119555,0.22,0.395,0.385
7103893,0.015,0.11,0.875
7231878,0.02,0.19,0.79
7194073,0.02,0.165,0.815
7156654,0.175,0.37,0.455
7181249,0.01,0.085,0.905
7155816,0.12,0.205,0.675
7140001,0.01,0.08,0.91
7167234,0.065,0.295,0.64
7102496,0.055,0.22,0.725
7232981,0.205,0.405,0.39
7216485,0.045,0.205,0.75
7224065,0.015,0.11,0.875
7172720,0.025,0.06,0.915
7119328,0.22,0.285,0.495
7166323,0.15,0.3,0.55
7095312,0.04,0.18,0.78
7126464,0.075,0.305,0.62
7156313,0.055,0.19,0.755
7142691,0.045,0.34,0.615
7180405,0.125,0.39,0.485
7201309,0.045,0.145,0.81
7229233,0.015,0.125,0.86
7128242,0.015,0.155,0.83
7206764,0.005,0.04,0.955
7125953,0.13,0.305,0.565
7193756,0.1,0.33,0.57
7110807,0.07,0.26,0.67
7123025,0.015,0.115,0.87
7229043,0.02,0.095,0.885
7144529,0.27,0.34,0.39
7089925,0.065,0.22,0.715
7142909,0.015,0.165,0.82
7200320,0.045,0.3,0.655
7216427,0.11,0.395,0.495
7192680,0.11,0.28,0.61
7130341,0.195,0.475,0.33
7214209,0.085,0.205,0.71
7207776,0.27,0.315,0.415
7185816,0.04,0.255,0.705
7172271,0.0,0.005,0.995
7165343,0.155,0.38,0.465
7212934,0.15,0.3,0.55
7152751,0.18,0.295,0.525
7089177,0.095,0.425,0.48
7135107,0.13,0.365,0.505
7092850,0.03,0.255,0.715
7158555,0.185,0.385,0.43
7234183,0.005,0.03,0.965
7118286,0.02,0.22,0.76
7119152,0.04,0.13,0.83
7223584,0.075,0.235,0.69
7123957,0.04,0.16,0.8
7223702,0.005,0.07,0.925
7108026,0.025,0.26,0.715
7165605,0.31,0.315,0.375
7227039,0.19,0.41,0.4
7157195,0.035,0.17,0.795
7104579,0.115,0.285,0.6
7119805,0.18,0.38,0.44
7142014,0.325,0.275,0.4
7174412,0.02,0.105,0.875
7205037,0.0,0.07,0.93
7096604,0.07,0.375,0.555
7214758,0.075,0.31,0.615
7135785,0.085,0.335,0.58
7210042,0.005,0.04,0.955
7150868,0.265,0.355,0.38
7115004,0.025,0.265,0.71
7208850,0.055,0.175,0.77
7122006,0.065,0.29,0.645
7218334,0.065,0.19,0.745
7164673,0.315,0.295,0.39
7098334,0.1,0.285,0.615
7116799,0.04,0.165,0.795
7158050,0.085,0.255,0.66
7113260,0.15,0.365,0.485
7169293,0.11,0.25,0.64
7219356,0.305,0.295,0.4
7103883,0.085,0.35,0.565
7162849,0.1,0.43,0.47
7220960,0.08,0.28,0.64
7218150,0.08,0.215,0.705
7169062,0.01,0.065,0.925
7132833,0.11,0.39,0.5
7153312,0.055,0.17,0.775
7102582,0.005,0.08,0.915
7128031,0.115,0.265,0.62
7226979,0.03,0.14,0.83
7174830,0.055,0.22,0.725
7095500,0.315,0.285,0.4
7203788,0.105,0.285,0.61
7195129,0.16,0.345,0.495
7096676,0.01,0.225,0.765
7139189,0.0,0.035,0.965
7156036,0.085,0.245,0.67
7201766,0.235,0.4,0.365
7127461,0.085,0.305,0.61
7176092,0.18,0.235,0.585
7093983,0.035,0.23,0.735
7219250,0.095,0.325,0.58
7216197,0.12,0.325,0.555
7175523,0.115,0.445,0.44
7096041,0.0,0.1,0.9
7106333,0.005,0.07,0.925
7135564,0.085,0.35,0.565
7230191,0.045,0.14,0.815
7094318,0.295,0.335,0.37
7157145,0.06,0.175,0.765
7141347,0.0,0.015,0.985
7197253,0.15,0.35,0.5
7151861,0.105,0.26,0.635
7128268,0.045,0.19,0.765
7180937,0.06,0.19,0.75
7097170,0.035,0.195,0.77
7205053,0.055,0.205,0.74
7223074,0.17,0.42,0.41
7127700,0.04,0.245,0.715
7184877,0.005,0.12,0.875
7156129,0.09,0.28,0.63
7233730,0.055,0.175,0.77
7153783,0.285,0.28,0.435
7113299,0.025,0.2,0.775
7098374,0.05,0.36,0.59
7225647,0.025,0.07,0.905
7111117,0.055,0.19,0.755
7138147,0.04,0.28,0.68
7120784,0.07,0.21,0.72
7186670,0.15,0.375,0.475
7145739,0.01,0.145,0.845
7090058,0.115,0.355,0.53
7110436,0.045,0.225,0.73
7232756,0.005,0.015,0.98
7111709,0.1,0.365,0.535
7107311,0.015,0.14,0.845
7210450,0.025,0.145,0.83
7127661,0.09,0.26,0.65
7096383,0.18,0.365,0.455
7137831,0.005,0.05,0.945
7160032,0.115,0.45,0.435
7128113,0.04,0.195,0.765
7197701,0.085,0.19,0.725
7140888,0.06,0.27,0.67
7098130,0.115,0.35,0.535
7158260,0.195,0.305,0.5
7112812,0.23,0.46,0.31
7179231,0.125,0.285,0.59
7123293,0.08,0.275,0.645
7127939,0.075,0.28,0.645
7210843,0.015,0.11,0.875
7119906,0.03,0.135,0.835
7157868,0.015,0.175,0.81
7160993,0.175,0.3,0.525
7198449,0.13,0.295,0.575
7194749,0.2,0.405,0.395
7164909,0.065,0.26,0.675
7155991,0.18,0.38,0.44
7219535,0.095,0.365,0.54
7127883,0.01,0.125,0.865
7192641,0.055,0.25,0.695
7222187,0.28,0.39,0.33
7129565,0.03,0.22,0.75
7143475,0.085,0.3,0.615
7121904,0.135,0.32,0.545
7124968,0.07,0.385,0.545
7103194,0.02,0.15,0.83
7197397,0.02,0.12,0.86
7181741,0.065,0.29,0.645
7139959,0.08,0.35,0.57
7179519,0.325,0.3,0.375
7187941,0.07,0.305,0.625
7142188,0.335,0.315,0.35
7224310,0.06,0.315,0.625
7142856,0.05,0.27,0.68
7090831,0.07,0.195,0.735
7152437,0.015,0.1,0.885
7130584,0.17,0.435,0.395
7162590,0.095,0.26,0.645
7210173,0.065,0.27,0.665
7173461,0.205,0.355,0.44
7201402,0.03,0.16,0.81
7156675,0.135,0.51,0.355
7105849,0.08,0.22,0.7
7190940,0.045,0.22,0.735
7176492,0.18,0.375,0.445
7109146,0.035,0.13,0.835
7135096,0.08,0.36,0.56
7145341,0.09,0.425,0.485
7170053,0.07,0.16,0.77
7222037,0.2,0.405,0.395
7200576,0.1,0.265,0.635
7219311,0.27,0.33,0.4
7088683,0.025,0.155,0.82
7197130,0.065,0.285,0.65
7198553,0.09,0.395,0.515
7092108,0.08,0.27,0.65
7233635,0.125,0.43,0.445
7162208,0.04,0.27,0.69
7113584,0.13,0.415,0.455
7088920,0.195,0.34,0.465
7212619,0.05,0.245,0.705
7108297,0.0,0.06,0.94
7212382,0.05,0.205,0.745
7228960,0.005,0.13,0.865
7223136,0.0,0.01,0.99
7140835,0.085,0.23,0.685
7161726,0.27,0.33,0.4
7193196,0.03,0.145,0.825
7131021,0.01,0.09,0.9
7136116,0.02,0.11,0.87
7199243,0.0,0.085,0.915
7107410,0.115,0.445,0.44
7111408,0.035,0.135,0.83
7143442,0.105,0.355,0.54
7201307,0.03,0.145,0.825
7163518,0.235,0.34,0.425
7210133,0.03,0.19,0.78
7155655,0.06,0.25,0.69
7140488,0.16,0.39,0.45
7133293,0.055,0.195,0.75
7126808,0.13,0.42,0.45
7227507,0.04,0.185,0.775
7159592,0.01,0.19,0.8
7180725,0.025,0.24,0.735
7150854,0.005,0.075,0.92
7137335,0.03,0.15,0.82
7158425,0.015,0.07,0.915
7213225,0.125,0.28,0.595
7148260,0.0,0.025,0.975
7111858,0.085,0.245,0.67
7171126,0.045,0.265,0.69
7189468,0.03,0.125,0.845
7192340,0.03,0.125,0.845
7164476,0.075,0.25,0.675
7510953,0.025,0.115,0.86
7233576,0.075,0.42,0.505
7181820,0.01,0.245,0.745
7152810,0.005,0.075,0.92
7201962,0.01,0.04,0.95
7139487,0.065,0.29,0.645
7227862,0.075,0.295,0.63
7207553,0.08,0.36,0.56
7161665,0.185,0.35,0.465
7145839,0.02,0.18,0.8
7111740,0.0,0.1,0.9
7218313,0.04,0.345,0.615
7210476,0.05,0.18,0.77
7215652,0.005,0.17,0.825
7139122,0.0,0.045,0.955
7105843,0.15,0.37,0.48
7202962,0.05,0.17,0.78
7125601,0.005,0.075,0.92
7177976,0.045,0.135,0.82
7160458,0.075,0.26,0.665
7101930,0.07,0.33,0.6
7162776,0.065,0.345,0.59
7201534,0.125,0.425,0.45
7134791,0.175,0.395,0.43
7187911,0.035,0.17,0.795
7179474,0.185,0.265,0.55
7211709,0.315,0.335,0.35
7091376,0.005,0.105,0.89
7220819,0.18,0.45,0.37
7097222,0.035,0.26,0.705
7214485,0.005,0.185,0.81
7191186,0.11,0.315,0.575
7113981,0.035,0.17,0.795
7100790,0.0,0.02,0.98
7147743,0.0,0.075,0.925
7092755,0.065,0.225,0.71
7113999,0.055,0.18,0.765
7119360,0.04,0.17,0.79
7088049,0.0,0.025,0.975
7144447,0.23,0.41,0.36
7123686,0.02,0.145,0.835
7178148,0.065,0.37,0.565
7100482,0.11,0.425,0.465
7131572,0.3,0.365,0.335
7181965,0.1,0.305,0.595
7110028,0.08,0.355,0.565
7107440,0.085,0.355,0.56
7124764,0.01,0.125,0.865
7152838,0.005,0.03,0.965
7146250,0.105,0.35,0.545
7198218,0.08,0.345,0.575
7136542,0.24,0.325,0.435
7204694,0.155,0.375,0.47
7230370,0.125,0.37,0.505
7207615,0.26,0.32,0.42
7170804,0.035,0.19,0.775
7100338,0.055,0.28,0.665
7102612,0.15,0.35,0.5
7136327,0.18,0.425,0.395
7226629,0.045,0.245,0.71
7154141,0.05,0.175,0.775
7119278,0.08,0.205,0.715
7172516,0.025,0.105,0.87
7173854,0.09,0.375,0.535
7113913,0.03,0.21,0.76
7214948,0.03,0.13,0.84
7167244,0.065,0.38,0.555
7212552,0.03,0.23,0.74
7169247,0.17,0.395,0.435
7164608,0.285,0.405,0.31
7104037,0.005,0.11,0.885
7161305,0.115,0.385,0.5
7233719,0.075,0.2,0.725
7197388,0.15,0.385,0.465
7109575,0.285,0.34,0.375
7204398,0.025,0.19,0.785
7218631,0.3,0.365,0.335
7130018,0.04,0.26,0.7
7123544,0.095,0.43,0.475
7159778,0.025,0.145,0.83
7212037,0.035,0.215,0.75
7141155,0.06,0.235,0.705
7131753,0.005,0.225,0.77
7172478,0.04,0.175,0.785
7119936,0.05,0.345,0.605
7178319,0.015,0.15,0.835
7210976,0.005,0.155,0.84
7088694,0.14,0.375,0.485
7126674,0.04,0.15,0.81
7225095,0.06,0.335,0.605
7177379,0.07,0.31,0.62
7167344,0.005,0.065,0.93
7092487,0.22,0.475,0.305
7207338,0.18,0.37,0.45
7200580,0.075,0.245,0.68
7101757,0.015,0.05,0.935
7106534,0.075,0.22,0.705
7140877,0.08,0.255,0.665
7088400,0.025,0.17,0.805
7208826,0.15,0.35,0.5
7124298,0.205,0.365,0.43
7197164,0.06,0.14,0.8
7188447,0.025,0.235,0.74
7193170,0.015,0.16,0.825
7232150,0.2,0.365,0.435
7206931,0.065,0.22,0.715
7163701,0.07,0.22,0.71
7230747,0.0,0.055,0.945
7123636,0.01,0.05,0.94
7100167,0.255,0.34,0.405
7095483,0.02,0.16,0.82
7212292,0.045,0.185,0.77
7161423,0.095,0.275,0.63
7094323,0.08,0.39,0.53
7134126,0.14,0.395,0.465
7135730,0.0,0.025,0.975
7114056,0.225,0.35,0.425
7162122,0.03,0.135,0.835
7226116,0.02,0.195,0.785
7225528,0.03,0.12,0.85
7198381,0.05,0.13,0.82
7165862,0.0,0.065,0.935
7226721,0.065,0.295,0.64
7119665,0.01,0.135,0.855
7092959,0.17,0.48,0.35
7233370,0.07,0.21,0.72
7198643,0.165,0.31,0.525
7151311,0.055,0.27,0.675
7228932,0.155,0.405,0.44
7133618,0.025,0.175,0.8
7155042,0.025,0.105,0.87
7202228,0.05,0.265,0.685
7138573,0.02,0.13,0.85
7108430,0.03,0.13,0.84
7231314,0.07,0.195,0.735
7124228,0.11,0.32,0.57
7174511,0.035,0.26,0.705
7185449,0.015,0.08,0.905
7213650,0.01,0.125,0.865
7133941,0.07,0.27,0.66
7187366,0.005,0.03,0.965
7224166,0.09,0.29,0.62
7169973,0.04,0.185,0.775
7210489,0.065,0.225,0.71
7161088,0.175,0.395,0.43
7153934,0.06,0.2,0.74
7131257,0.04,0.215,0.745
7194859,0.24,0.325,0.435
7113061,0.12,0.46,0.42
7204259,0.02,0.08,0.9
7222883,0.02,0.075,0.905
7102127,0.195,0.44,0.365
7101779,0.04,0.205,0.755
7204401,0.03,0.2,0.77
7102696,0.04,0.15,0.81
7167132,0.01,0.055,0.935
7153925,0.06,0.28,0.66
7109556,0.02,0.105,0.875
7140782,0.085,0.23,0.685
7150633,0.105,0.23,0.665
7130332,0.165,0.28,0.555
7090117,0.02,0.22,0.76
7159969,0.01,0.215,0.775
7159980,0.0,0.08,0.92
7094322,0.08,0.42,0.5
7169785,0.175,0.27,0.555
7137077,0.03,0.185,0.785
7166021,0.0,0.025,0.975
7090007,0.025,0.24,0.735
7174035,0.115,0.4,0.485
7222684,0.01,0.085,0.905
7145358,0.085,0.335,0.58
7198874,0.13,0.36,0.51
7227001,0.095,0.42,0.485
7213525,0.04,0.125,0.835
7222801,0.005,0.05,0.945
7223947,0.105,0.38,0.515
7217717,0.02,0.15,0.83
7131037,0.025,0.12,0.855
7212360,0.255,0.345,0.4
7116094,0.02,0.295,0.685
7117057,0.085,0.26,0.655
7110218,0.265,0.305,0.43
7224295,0.03,0.205,0.765
7156844,0.025,0.365,0.61
7132335,0.1,0.39,0.51
7177151,0.18,0.445,0.375
7145144,0.045,0.295,0.66
7088527,0.0,0.085,0.915
7591938,0.05,0.205,0.745
7164189,0.04,0.305,0.655
7181386,0.115,0.2,0.685
7154896,0.03,0.135,0.835
7171775,0.155,0.405,0.44
7223791,0.055,0.215,0.73
7114825,0.0,0.035,0.965
7186411,0.0,0.09,0.91
7178692,0.01,0.08,0.91
7092405,0.075,0.285,0.64
7154186,0.0,0.055,0.945
7089860,0.02,0.105,0.875
7093311,0.035,0.155,0.81
7095391,0.025,0.18,0.795
7117897,0.015,0.18,0.805
7109138,0.04,0.25,0.71
7099040,0.09,0.29,0.62
7093041,0.025,0.165,0.81
7094767,0.01,0.11,0.88
7111403,0.03,0.15,0.82
7136662,0.07,0.16,0.77
7172760,0.06,0.205,0.735
7093925,0.04,0.18,0.78
7151085,0.01,0.075,0.915
7229152,0.02,0.11,0.87
7177630,0.08,0.385,0.535
7112601,0.105,0.395,0.5
7091858,0.065,0.3,0.635
7145790,0.24,0.3,0.46
7121469,0.09,0.25,0.66
7131218,0.02,0.085,0.895
7089818,0.175,0.275,0.55
7218493,0.14,0.305,0.555
7102516,0.11,0.235,0.655
7128832,0.035,0.14,0.825
7141416,0.04,0.27,0.69
7119172,0.16,0.32,0.52
7104404,0.175,0.445,0.38
7155370,0.02,0.18,0.8
7099106,0.01,0.17,0.82
7207897,0.035,0.13,0.835
7181407,0.255,0.3,0.445
7230033,0.15,0.26,0.59
7089127,0.115,0.405,0.48
7209677,0.02,0.125,0.855
7140941,0.085,0.455,0.46
7104655,0.055,0.225,0.72
7229311,0.095,0.305,0.6
7150462,0.075,0.37,0.555
7193420,0.065,0.34,0.595
7224661,0.085,0.385,0.53
7105052,0.055,0.185,0.76
7211261,0.165,0.41,0.425
7209769,0.16,0.415,0.425
7167803,0.03,0.13,0.84
7095923,0.02,0.21,0.77
7187442,0.19,0.405,0.405
7108785,0.01,0.08,0.91
7179725,0.045,0.195,0.76
7210753,0.165,0.395,0.44
7211593,0.035,0.095,0.87
7186078,0.015,0.26,0.725
7090925,0.26,0.43,0.31
7134002,0.12,0.36,0.52
7164549,0.105,0.34,0.555
7215742,0.01,0.07,0.92
7108240,0.16,0.37,0.47
7197086,0.085,0.28,0.635
7205678,0.025,0.14,0.835
7122785,0.015,0.11,0.875
7114064,0.0,0.065,0.935
7224343,0.015,0.125,0.86
7194178,0.06,0.245,0.695
7095589,0.115,0.24,0.645
7197800,0.065,0.22,0.715
7088799,0.035,0.17,0.795
7194121,0.07,0.395,0.535
